877794.5625	4628407.5	877716.625	4628627.5
877826.4375	4628373.5	877744.1875	4628590
877855.375	4628336	877772.9375	4628550.5
877887.0625	4628304	877802.3125	4628514
877915	4628269	877838.25	4628480
877945.5	4628227	877847.5	4628434
877973.9375	4628196	877875.5	4628397
878003.625	4628157	877906.125	4628361.5
878035.125	4628122	877941.6875	4628327
878064.9375	4628081	877971.625	4628291
878097.375	4628049.5	878002.75	4628255.5
878124.125	4628015.5	878037.625	4628221
878147.5625	4627977.5	878081.8125	4628190.5
878161.0625	4627929.5	878106	4628152.5
878172.625	4627885.5	878117	4628107
878191.9375	4627842.5	878139.1875	4628067
878213.4375	4627803.5	878150.875	4628023.5
878235.875	4627769	878174.8125	4627983.5
878260.5625	4627726.5	878191.9375	4627942.5
878284.375	4627691	878218.1875	4627908.5
878306.75	4627652	878229.375	4627865.5
878325.625	4627612	878263.125	4627829.5
878336.75	4627568.5	878281.0625	4627783
878340.125	4627530.5	878277.5	4627736
878336.9375	4627487	878292.3125	4627693.5
878325	4627450	878295.625	4627647.5
878316.75	4627408	878280.5	4627605.5
878304.125	4627361	878287.25	4627557.5
878291.9375	4627325.5	878290.3125	4627522.5
878285.4375	4627286	878284.875	4627485
878281	4627241	878289.375	4627441.5
878281.375	4627195.5	878292.625	4627396.5
878290.5625	4627157.5	878299.9375	4627350
878307.25	4627121.5	878308.5	4627313
878324.9375	4627083	878323.375	4627282.5
878347.625	4627055	878332.8125	4627249.5
878375.8125	4627017	878337	4627211.5
878402.6875	4626988	878335.0625	4627171.5
878428.5	4626953	878329.75	4627138.5
878451.6875	4626919.5	878331.1875	4627098.5
878483.0625	4626889.5	878334.0625	4627064
878510.375	4626868	878340.75	4627023.5
878541.9375	4626838.5	878357.9375	4626996
878573.6875	4626807	878380.625	4626982
878604.125	4626778	878404.3125	4626957.5
878640.25	4626749.5	878426.625	4626922.5
878674.5	4626724	878458.25	4626892
878707.4375	4626696	878496.625	4626872
878743.25	4626666	878531.125	4626847
878781.9375	4626630.5	878569	4626822
878808.5	4626599	878606.5	4626795.5
878844.75	4626568.5	878642.9375	4626769
878881.625	4626535	878673.125	4626744
878913.125	4626504.5	878704.1875	4626711
878947.125	4626470.5	878736.875	4626675.5
878982.125	4626439	878767.875	4626645.5
879016.875	4626407	878796.375	4626613.5
879054.5625	4626374	878826	4626579
879085.5	4626335.5	878855.875	4626544
879120.4375	4626305.5	878889.75	4626513.5
879151.375	4626275.5	878931.5	4626484
879178.875	4626233.5	878966.8125	4626449
879197.375	4626196.5	878995.625	4626412
879220.625	4626154	879020.625	4626373
879241.3125	4626116.5	879042.625	4626333
879258.5625	4626074.5	879068.1875	4626293.5
879279	4626034	879100.625	4626257.5
879288.8125	4625991	879139.8125	4626222
879291.8125	4625948.5	879170.125	4626181
879290.9375	4625909.5	879186.4375	4626140.5
879292.25	4625867.5	879185.75	4626103
879291.5625	4625828	879172.9375	4626065
879297.75	4625786.5	879164.9375	4626023.5
879310.3125	4625746	879170.5	4625987.5
879324.25	4625699	879190.4375	4625949
879336.875	4625660.5	879225.1875	4625912
879343.75	4625622.5	879266.125	4625885
879348.625	4625584.5	879287.75	4625861.5
879350.3125	4625548.5	879286.375	4625832.5
